FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.014801774614784791,0.011390302138708324,0.0007696813359221045,0.014667084745892612,0.0074607319912634,0.0,0.0055395504256135035,0.004118715215711943,0.0
Hydrogen,2030,0.0017910746660662108,0.0,0.0,0.0006654177536922004,0.0,2.34704665421977e-09,0.0003419141445127002,0.0,0.0
Methanol,2030,0.0,4.291642936587474e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.00016222185467320096,0.00019065518833370017,0.0,0.0,7.344404016194895e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0025617408934113023,0.0,0.0,0.0002728638287244001,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.011892869349592808,0.0001842478701587,0.0037413218503422946,0.012748643301911009,0.00045449661688549384,0.0101141989679102
Fossil Liquids,2030,0.0,0.0,0.0,0.1187344724613383,0.00129760371974,0.03371790862543365,0.08143998967468194,0.0027510689781869626,0.0982173766621511
Fossil Residuals,2030,0.0161196719945967,0.0,0.006974068832852343,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,5.852124865194826e-05,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.0006126746823103036,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.0327125212754477,0.0114332185680742,0.0085771679544099,0.1487122403922609,0.0089425835811621,0.0374592328228226,0.1004164054156055,0.0073242808107844,0.1083315756300613
Power,2040,0.013464502775660308,0.007572257071147047,0.0014088506930931353,0.021188963332098062,0.008997166834686226,0.0,0.013295061340416116,0.004466517697420774,0.00647525930648751
Hydrogen,2040,0.003503422422736916,0.00041597331167624236,0.00039040646578820417,0.0006096847022901869,0.0,2.29141729992066e-09,0.0013965898723310318,0.0,0.0012968535461475284
