FuelGroup,Year,Iron & steel,Chemicals,Non-metallic minerals,Pass Road,Pass Rail,Pass Aviation,Freight Road,Freight Rail,Maritime
Power,2030,0.002584939845392,0.0025644641690281,0.00025910305664240935,0.003867550949853604,0.0002568735268458255,0.0,0.0008564715863255967,0.0008810105960646936,0.0
Hydrogen,2030,0.0,0.0,0.0,0.0001741233353551002,0.0,2.4929170805074276e-11,5.2165601359514254e-05,0.0,0.0
Methanol,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ammonia,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2030,0.0,0.0,0.00023872159308260864,4.670934892225637e-05,0.0,0.0,1.1777428584393313e-05,0.0,0.0
Fossil Gases,2030,0.0,0.0,0.0,0.0006702424723200009,0.0,0.0,4.2542092692247676e-05,0.0,0.0
Synthetic Liquids,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Liquids,2030,0.0,0.0,0.0,0.0030764507634778037,6.343667119654742e-06,6.82086171283911e-05,0.0019806035655559927,9.721874768721076e-05,0.0009813852249141
Fossil Liquids,2030,0.0,0.0,0.0,0.031096706371009836,4.467658727431971e-05,0.000623389982897138,0.012697071112236252,0.0005884652842812957,0.0096127645369281
Fossil Residuals,2030,0.0,0.0,0.0036881796930104335,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2030,0.0,0.0,0.0011460855018133413,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2030,0.0,0.0,0.00017107615058510622,0.0,0.0,0.0,0.0,0.0,0.0
Overall Demand,2030,0.002584939845392,0.0025644641690281,0.0055031659951339,0.0389317832409386,0.0003078937812398,0.0006915986249547,0.015640631386754,0.0015666946280332,0.0105941497618422
Power,2040,0.002287220991269284,0.0023317193377166584,0.0007301940043910187,0.005545258288877428,0.00030977308649513696,0.0,0.0018877843336047716,0.0009554070171996062,0.0006187407329528118
Hydrogen,2040,0.00016689899495727706,0.0001063412803880929,0.00023987682583725422,9.744208024873465e-05,0.0,2.4178625751329635e-11,3.467310264757349e-05,0.0,0.0
Methanol,2040,0.0,8.507302431047433e-05,0.0,0.00019872361204212858,0.0,0.0,0.00037929608975076216,0.0,0.0008995538348313957
Ammonia,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Synthetic Gases,2040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biogenic Gases,2040,0.0,0.0,0.00018653876568452263,2.1370796456338283e-05,0.0,0.0,6.400093096037317e-06,0.0,0.0
Fossil Gases,2040,0.0,0.0,0.0,0.00030665414489472096,0.0,0.0,2.3118234322510178e-05,0.0,0.0
Synthetic Liquids,2040,0.0,0.0,0.0,0.0,0.0,0.0001101300946228625,0.0,0.0,0.0
Biogenic Liquids,2040,0.0,0.0,0.0,0.0014075598266989216,6.061375392607709e-06,5.408668315519516e-05,0.0010763000696687966,7.65664965329894e-05,0.0007903882522875485
Fossil Liquids,2040,0.0,0.0,0.0,0.014227588216300628,4.2688489421398064e-05,0.0004943231208398985,0.006899845461427959,0.00046345716459620387,0.0077419304561665465
Fossil Residuals,2040,0.0,0.0,0.002881970075152825,0.0,0.0,0.0,0.0,0.0,0.0
Biomass [Solid],2040,0.0,0.0,0.0008955594343876823,0.0,0.0,0.0,0.0,0.0,0.0
Renewable Energy Carrier,2040,8.344949747863853e-05,8.507302431047433e-05,0.00032558159222439677,0.0,1.3128647445573676e-06,1.2236677180318056e-05,9.482402243769054e-05,1.3765797885000398e-05,0.0003855230720705982
Overall Demand,2040,0.0025375694837052,0.0026082066667257,0.0052597206976777,0.0218045969655189,0.0003598358160537,0.0006707765999769,0.0104022414069561,0.0015091964762138,0.0104361363483089
Power,2050,0.001562032486736,0.0016021755282567879,0.0030461874040623306,0.01372422752283047,0.00039233515385981,0.0,0.00470601308112246,0.0014143637715998449,0.003339719553386028
Hydrogen,2050,0.0006248129946944,0.00040054388206419697,0.00138463063821015,6.461256540522974e-05,0.0,2.3132890773404602e-11,2.0927714601121195e-05,0.0,0.0
